hole_card_1,hole_card_2,board_card_1,board_card_2,board_card_3,board_card_4,board_card_5,street,num_opponents,win_pct,tie_pct,loss_pct
2c,Qc,4h,Ts,9d,Td,8s,5,7,0.0,0.0,100.0
4s,5d,4d,Jc,Td,Th,4h,5,7,33.6,14.4,52.0
Kd,Jh,2s,9h,3s,7d,2c,5,2,13.2,0.2,86.6
2c,9h,Ks,Jd,2d,8s,,4,4,9.4,1.6,89.0
9h,Ac,Js,3c,8s,Qd,,4,2,22.4,4.0,73.6
Ah,5c,3s,9d,9c,Js,Jd,5,1,70.2,11.2,18.6
5h,6s,5s,Kc,Jd,Ks,Jc,5,7,0.0,0.0,100.0
6d,6c,9s,Tc,5h,2c,,4,6,11.2,0.0,88.8
9c,7h,5s,9d,2d,4c,Qs,5,3,34.4,1.2,64.4
7h,5d,7s,2s,Kh,,,3,4,22.2,3.4,74.4
7s,Ts,,,,,,0,8,12.4,4.0,83.6
Jc,Th,4h,9s,9d,3h,6h,5,3,0.4,0.0,99.6
Ac,6h,Jh,5c,As,,,3,4,45.2,8.4,46.4
Qc,Kd,Ac,Qs,9h,,,3,1,78.2,2.0,19.8
9s,3s,Jh,Tc,8d,3h,Jc,5,4,6.6,2.4,91.0
3s,4c,9h,Th,8c,2h,3h,5,2,8.2,2.0,89.8
Jd,Qs,7s,Qh,Ac,Ah,,4,2,69.6,4.0,26.4
Td,4s,,,,,,0,5,10.8,3.4,85.8
9h,Qd,,,,,,0,6,15.2,2.4,82.4
9d,4h,2s,9h,5d,Ts,,4,3,31.8,3.2,65.0
9s,5d,4c,Js,Kh,Tc,,4,7,0.2,2.0,97.8
Jc,5c,,,,,,0,8,11.0,1.6,87.4
Kc,7c,,,,,,0,5,16.0,2.4,81.6
7c,6s,,,,,,0,7,8.0,2.8,89.2
9h,Ts,4d,7s,8s,Ac,,4,1,37.0,1.8,61.2
3h,Kh,2h,8d,6h,Th,4s,5,1,99.4,0.0,0.6
4d,8s,6c,3s,8h,,,3,1,72.8,3.2,24.0
3s,Ah,4s,9s,6h,,,3,7,2.6,1.6,95.8
Qh,Kd,Th,Kh,7s,Qc,,4,5,55.8,1.0,43.2
Td,9c,2c,Jc,Ts,,,3,1,71.6,2.2,26.2
7s,Ac,Th,Kc,As,6c,,4,8,20.0,8.2,71.8
3d,Tc,Qd,2h,4d,,,3,8,1.2,1.8,97.0
Ah,6d,4c,Qs,3d,,,3,5,5.6,4.0,90.4
6s,2h,Js,8h,4d,7h,,4,8,1.6,4.4,94.0
5d,2c,8c,2h,Jh,Ts,,4,3,11.8,2.0,86.2
Kd,Ad,4c,5c,9c,,,3,8,2.8,0.2,97.0
4c,5s,Kh,9h,7h,,,3,8,0.6,0.6,98.8
7c,5h,Qd,Ts,4s,,,3,6,2.8,0.2,97.0
Js,Qs,Qh,Qd,2c,,,3,6,81.2,6.8,12.0
3d,8s,9d,6h,6d,,,3,6,2.2,1.8,96.0
Ks,As,8d,Kd,7h,8s,7c,5,1,79.8,0.6,19.6
7d,Ad,9s,Jc,5c,,,3,7,2.8,1.8,95.4
4s,Jc,Qs,Ad,7s,3h,,4,2,8.6,3.0,88.4
Js,6s,Tc,7h,8c,,,3,3,12.4,7.0,80.6
Qs,7d,8d,4h,Ks,6h,Jc,5,5,0.2,0.0,99.8
Th,5d,8c,7s,6s,,,3,4,15.2,11.2,73.6
2s,3s,Qs,5c,Tc,4h,,4,6,13.0,1.6,85.4
Kh,6s,Ah,7h,Th,,,3,2,48.2,2.8,49.0
8c,5d,3s,7d,2h,Qc,Jh,5,3,0.0,0.0,100.0
4s,Ks,Kc,Ac,Jh,,,3,4,22.0,7.6,70.4
7c,8h,7h,Jc,6c,Ks,,4,8,5.0,1.4,93.6
Jd,Jh,3c,Td,Kh,2h,,4,6,19.0,0.0,81.0
Th,9c,3h,Js,3s,Kc,,4,2,15.2,8.2,76.6
7c,7s,3h,Jh,2h,9c,Jc,5,5,15.0,0.8,84.2
3s,Qh,4c,Td,Qs,Tc,,4,8,14.0,6.0,80.0
7c,Kd,,,,,,0,8,9.2,3.6,87.2
3s,Qs,Js,Td,Th,3d,3c,5,7,30.6,14.2,55.2
6s,4c,Qs,Tc,9d,,,3,4,2.2,1.4,96.4
Jd,Ac,9c,Kd,Js,Qh,7s,5,4,9.0,0.4,90.6
Th,5d,,,,,,0,3,17.2,2.8,80.0
9d,3h,As,Ac,7d,2c,Js,5,1,12.8,4.0,83.2
3h,8d,7s,9h,Qd,Qc,6s,5,2,0.0,0.4,99.6
8d,2s,,,,,,0,3,12.8,3.0,84.2
Kh,4h,8d,2s,9d,,,3,2,15.0,1.8,83.2
6s,6d,,,,,,0,2,42.4,0.6,57.0
7s,7d,8c,5s,3c,9c,,4,3,21.6,1.4,77.0
Ks,Js,,,,,,0,3,37.0,2.2,60.8
Td,4c,,,,,,0,5,14.2,3.2,82.6
4h,Th,,,,,,0,2,28.6,4.2,67.2
4c,Th,3c,8c,Td,,,3,5,25.0,4.0,71.0
3h,2h,8s,3c,5s,,,3,7,5.0,2.2,92.8
2d,8c,,,,,,0,5,8.8,2.0,89.2
Ts,6h,2s,Qc,9h,,,3,3,10.0,2.6,87.4
8s,8c,,,,,,0,2,49.8,1.6,48.6
2d,5c,,,,,,0,6,6.6,0.6,92.8
8s,Ac,,,,,,0,8,8.4,2.6,89.0
3d,6s,Kc,9s,7h,,,3,6,2.4,0.6,97.0
9c,Qc,,,,,,0,8,13.6,3.2,83.2
4h,3s,7c,7h,5s,Jd,7s,5,2,0.0,0.0,100.0
6h,3c,8s,2s,Th,,,3,6,2.0,0.6,97.4
3d,4c,,,,,,0,6,7.0,1.6,91.4
3d,6h,4h,6c,4c,8c,,4,1,56.0,2.6,41.4
Ac,As,,,,,,0,6,42.6,1.0,56.4
4d,As,Ac,Th,9d,,,3,6,27.0,8.4,64.6
4d,6h,9h,Kd,6c,,,3,7,7.6,2.4,90.0
Kc,4c,6s,5d,2h,,,3,7,7.2,11.6,81.2
4c,Jh,6d,4s,Ad,Ah,8c,5,6,3.2,0.0,96.8
5d,Qc,5s,Ks,6s,7s,,4,8,0.0,2.2,97.8
Ts,2h,,,,,,0,6,6.6,3.2,90.2
3s,As,6d,8d,Ks,4d,,4,1,31.2,2.0,66.8
3s,Qs,,,,,,0,5,17.4,2.8,79.8
6h,9h,9d,Kh,Th,,,3,2,61.4,3.8,34.8
4d,3c,Kc,Jh,9c,2h,,4,4,0.2,0.0,99.8
9c,Qs,4c,3c,As,,,3,7,3.0,0.4,96.6
6c,7s,8s,Ks,Ad,5d,Jh,5,1,6.2,3.4,90.4
Qh,3s,Qs,2s,Ts,3h,,4,4,53.2,1.0,45.8
Js,Qc,Ad,Th,6s,7d,Kc,5,6,95.0,5.0,0.0
9c,9d,7s,Qc,7h,,,3,5,18.6,0.4,81.0
Kc,6h,,,,,,0,6,9.0,3.6,87.4
7c,2h,Kd,9d,4s,5d,Qh,5,3,0.0,0.0,100.0
Kc,Jh,Ah,3s,Tc,4h,,4,4,14.4,0.8,84.8
9s,5d,Kd,5h,Ah,,,3,3,22.6,4.4,73.0
3d,2h,2s,Ts,9h,As,2c,5,1,90.4,1.6,8.0
Qs,9d,Js,9c,Qh,8d,As,5,6,15.2,0.6,84.2
Qc,4s,Kd,6s,3h,4c,9c,5,7,0.6,0.2,99.2
Jc,Qd,Ts,6h,2h,5h,,4,6,1.4,0.0,98.6
Jh,5c,5h,Ah,5s,,,3,3,75.6,6.4,18.0
As,Kh,7h,3d,Ah,Tc,6h,5,6,32.2,2.4,65.4
Th,5c,,,,,,0,7,6.4,2.6,91.0
Jd,Kd,5h,Ah,5c,3s,,4,4,5.4,5.0,89.6
3h,Td,,,,,,0,2,24.8,3.0,72.2
Js,5d,,,,,,0,8,6.8,3.8,89.4
9h,7s,Kc,2h,9s,,,3,4,30.8,3.4,65.8
2h,Jd,6h,Js,4d,,,3,1,77.8,2.6,19.6
5s,Qc,7c,2h,9c,Ks,4h,5,1,25.2,0.2,74.6
6c,Kh,Ks,8c,Qc,Ts,,4,3,41.6,6.4,52.0
Ad,Qs,9d,4d,8d,2d,5h,5,1,100.0,0.0,0.0
8c,Js,7h,4h,5c,,,3,3,18.8,5.4,75.8
Th,Qs,6c,Ac,Ad,2d,,4,7,3.8,0.2,96.0
9d,Ks,Js,Ad,5d,,,3,3,14.8,3.0,82.2
Js,5d,2h,Jd,2d,Qd,Tc,5,3,22.0,8.6,69.4
4h,3d,8c,5s,6h,As,7h,5,2,48.6,18.8,32.6
2s,Kd,9s,7h,Qh,,,3,1,30.2,4.0,65.8
Jh,3h,Th,Qc,9c,,,3,2,29.6,7.6,62.8
As,5d,Jd,4s,Tc,,,3,7,6.4,2.2,91.4
5h,3s,2s,3h,8h,4d,Jd,5,2,23.6,0.0,76.4
Jd,Kd,,,,,,0,6,22.6,1.8,75.6
4d,Ks,,,,,,0,7,10.2,2.0,87.8
3s,Th,9c,9h,Jd,,,3,3,6.6,3.6,89.8
8s,6s,Jd,9d,Js,9h,3d,5,2,4.2,3.0,92.8
7d,2d,,,,,,0,6,9.2,2.0,88.8
As,Kd,Jh,Ad,3s,Ks,,4,5,66.6,2.0,31.4
5s,Ts,Td,Jc,Kd,,,3,8,6.8,3.8,89.4
Td,Ah,,,,,,0,8,16.8,1.6,81.6
2d,7c,7s,5d,Ac,5h,6s,5,5,7.8,6.8,85.4
6h,7h,,,,,,0,5,17.4,2.0,80.6
Kh,Qd,Jd,4h,3c,Jc,,4,5,7.4,0.6,92.0
3h,9c,,,,,,0,5,10.2,1.6,88.2
Ks,3h,8h,8d,9s,2c,Ts,5,3,0.6,1.4,98.0
3h,4d,2c,9c,Qd,7c,,4,1,4.8,0.8,94.4
Ah,8d,Ts,5s,Js,8h,,4,1,55.6,0.0,44.4
Th,Ts,5d,7h,Ac,7c,,4,7,10.0,0.0,90.0
Qs,8c,,,,,,0,8,9.0,3.4,87.6
Tc,7c,Ts,Qh,Kh,Jc,Th,5,8,0.8,0.8,98.4
4c,Qc,4h,Qs,Ah,8h,3d,5,8,40.0,0.8,59.2
4h,Ts,As,5d,2c,Jd,2h,5,1,24.4,6.8,68.8
2h,5h,Jd,4s,7c,,,3,6,3.0,1.6,95.4
5d,Qh,8s,5c,2s,Kc,,4,4,16.6,2.8,80.6
Qh,5s,Qd,Jc,4c,7d,,4,6,24.2,5.2,70.6
5d,5h,,,,,,0,6,13.6,1.0,85.4
Jc,6c,7s,Tc,5s,4c,,4,1,47.8,2.6,49.6
Ks,8c,Ts,Js,7d,,,3,1,51.4,4.0,44.6
Kd,7s,5h,4h,Jc,,,3,5,7.4,2.4,90.2
Ah,2d,2h,4d,4c,6h,2c,5,7,28.2,14.2,57.6
9s,3h,2s,7c,6h,5h,Qs,5,3,0.0,0.0,100.0
8h,Kc,4c,9c,6s,,,3,6,8.0,1.0,91.0
3c,Qd,9c,2d,2s,9h,,4,4,5.6,7.6,86.8
2c,4h,,,,,,0,8,4.2,1.4,94.4
3d,Js,3c,8s,Kd,Kc,9c,5,5,3.8,0.2,96.0
6s,7h,,,,,,0,2,29.4,3.6,67.0
3c,5c,Ah,9h,3h,9s,2h,5,4,1.4,1.0,97.6
9d,5s,,,,,,0,1,39.6,4.8,55.6
9c,9h,4d,Kd,Ad,2c,,4,8,1.6,0.0,98.4
3d,8h,,,,,,0,6,7.4,1.6,91.0
6d,3d,4c,5h,5d,,,3,1,39.0,6.2,54.8
8h,9d,,,,,,0,7,10.4,3.6,86.0
9h,8d,7h,4c,Tc,9s,5s,5,5,13.6,0.6,85.8
9c,2d,8h,As,Ad,Kh,7d,5,2,1.2,2.8,96.0
5h,4s,5c,Tc,7s,Kc,Qs,5,1,32.8,3.4,63.8
5s,5c,,,,,,0,4,18.0,0.8,81.2
2s,Qh,9s,Jd,Ah,8c,9c,5,1,27.8,6.8,65.4
Ah,6d,8d,4h,5d,9s,4s,5,7,0.0,0.2,99.8
5h,Js,9h,7d,2d,6h,7s,5,2,1.0,0.8,98.2
6s,2h,3d,2d,3s,4h,6d,5,5,5.0,0.2,94.8
As,4d,,,,,,0,8,9.4,3.0,87.6
8d,5c,,,,,,0,6,7.6,2.8,89.6
7h,Jh,9d,Ts,Td,2h,Ks,5,4,0.0,0.4,99.6
Ah,7h,Kd,8c,Qc,3d,8d,5,7,0.0,0.2,99.8
3d,Qh,,,,,,0,4,15.2,2.4,82.4
Kc,3c,,,,,,0,6,16.0,2.0,82.0
Ts,4d,,,,,,0,4,14.2,3.4,82.4
5s,Jc,7s,3s,Kh,,,3,2,15.6,2.0,82.4
6s,7d,,,,,,0,1,37.2,6.8,56.0
3s,9c,,,,,,0,5,7.2,2.2,90.6
Qc,Jc,9d,Qd,5h,4s,,4,6,35.4,1.2,63.4
Kd,Qc,,,,,,0,8,14.6,2.4,83.0
5h,2h,8d,3c,2s,,,3,6,9.8,2.4,87.8
Ah,7d,2h,6s,8s,Th,,4,8,2.8,3.8,93.4
7s,8d,2s,Qd,7h,3h,,4,1,69.4,1.6,29.0
6h,8h,3c,6c,Js,9c,,4,4,12.0,2.8,85.2
Kh,7d,,,,,,0,3,24.4,2.8,72.8
Tc,2s,2d,Ks,8h,,,3,2,32.6,2.2,65.2
Kc,3d,5d,Kh,4s,6d,,4,4,29.2,7.6,63.2
4h,Jd,,,,,,0,2,27.0,3.2,69.8
2h,Th,Ad,Ts,6s,,,3,2,46.0,4.6,49.4
Qd,Ts,Kh,8c,9h,8h,Kc,5,7,0.0,0.2,99.8
7s,5d,8s,Jd,8d,,,3,6,5.0,1.6,93.4
Qh,6d,Tc,9c,9s,6c,,4,3,18.8,1.6,79.6
5s,Kh,5c,4d,5d,2c,,4,8,41.8,5.4,52.8
Td,3d,Jc,6c,4h,3c,,4,4,6.6,0.0,93.4
Kd,Ad,6s,7h,9c,3c,,4,1,42.6,1.4,56.0
9c,5c,Qc,2d,2h,Kc,8h,5,4,0.0,0.0,100.0
2s,6s,,,,,,0,8,10.0,0.8,89.2
2s,6h,Ts,5s,8d,,,3,5,3.6,0.8,95.6
8c,Kd,Kc,Ad,Ts,6h,5d,5,5,28.0,2.0,70.0
Tc,4d,Ks,Jd,Js,Qd,Th,5,4,0.6,0.8,98.6
9h,8h,Qs,Jh,4s,,,3,6,10.4,1.0,88.6
8h,4d,Jd,Ac,2d,,,3,6,1.4,2.2,96.4
8c,Kc,,,,,,0,4,23.6,2.0,74.4
Qd,9d,9s,3d,Ks,,,3,7,16.6,2.0,81.4
As,4h,7d,6d,8h,,,3,6,4.0,3.4,92.6
5h,7h,5s,8s,3h,2s,Kd,5,1,57.8,0.6,41.6
Kh,6d,Qs,Kd,6h,Qh,,4,4,39.4,13.0,47.6
Kd,8h,3h,Kc,5h,2h,3d,5,8,11.2,0.4,88.4
2c,9h,4d,9d,Td,Jh,,4,5,6.0,1.2,92.8
3c,Td,7h,4h,2s,,,3,8,2.8,1.2,96.0
7s,5d,3d,6h,Js,As,,4,2,11.6,0.6,87.8
3h,Qc,,,,,,0,4,12.6,2.0,85.4
6h,9h,2d,5c,Qs,Ac,,4,7,0.2,0.0,99.8
Jd,3h,As,Qs,6c,7h,,4,4,1.0,1.0,98.0
Jd,6d,,,,,,0,7,10.6,3.2,86.2
6d,Kd,,,,,,0,4,22.8,3.6,73.6
Ah,3h,7c,Qs,4c,6h,,4,1,37.8,3.2,59.0
8c,2d,9c,3c,2s,,,3,5,11.4,0.8,87.8
Kc,5h,2d,Js,4s,3c,,4,3,12.0,4.8,83.2
9c,9h,Qs,4s,2h,Ah,3d,5,3,12.8,0.0,87.2
2d,3s,,,,,,0,4,10.6,1.4,88.0
9s,8c,,,,,,0,2,30.0,3.8,66.2
6d,Qh,Kh,Kd,9d,Ad,2d,5,3,40.8,0.0,59.2
Kh,7c,,,,,,0,5,14.8,4.6,80.6
Tc,5d,,,,,,0,2,29.2,3.8,67.0
Ts,3s,Td,7s,Qh,,,3,2,48.4,4.0,47.6
2c,4d,,,,,,0,8,6.2,1.8,92.0
3c,Qs,Ks,Kh,Kc,,,3,2,27.6,12.6,59.8
2d,Jh,Th,8s,4c,,,3,5,4.4,2.2,93.4
Ad,Js,7c,3s,Ah,,,3,5,50.4,1.8,47.8
Ad,6c,As,Qs,9s,,,3,5,19.8,6.4,73.8
2s,Jc,2c,Ad,4h,8h,,4,7,6.6,1.2,92.2
9s,3s,3h,5c,Ac,Ts,8s,5,2,21.8,1.0,77.2
2d,8s,Ah,Js,9d,,,3,6,2.0,1.4,96.6
3d,Qc,Kc,5c,7d,2d,,4,3,6.2,0.2,93.6
5s,8d,6d,8c,Qh,,,3,8,10.4,3.0,86.6
4h,Th,Ks,Ad,2s,7c,,4,2,5.8,2.0,92.2
Qc,6h,,,,,,0,7,10.6,1.8,87.6
Ac,8s,,,,,,0,8,10.8,3.0,86.2
4d,Kd,Td,5h,Qc,Js,7c,5,5,0.0,0.0,100.0
Ah,Qh,Jh,Qs,Qc,,,3,7,70.0,7.2,22.8
6s,Th,,,,,,0,2,25.4,3.4,71.2
6c,4c,6d,7h,Jd,,,3,8,7.2,2.0,90.8
Ks,8s,,,,,,0,7,14.8,2.8,82.4
8c,7h,3c,Th,6d,,,3,6,18.8,1.8,79.4
4s,5d,Tc,2c,Th,,,3,1,19.6,4.4,76.0
Qd,5c,,,,,,0,1,48.2,2.8,49.0
9s,6h,,,,,,0,2,29.4,3.8,66.8
Qc,Ts,6c,3s,6h,7c,,4,2,14.6,1.8,83.6
Td,Kc,Jh,6c,7s,8h,Qs,5,6,0.0,0.0,100.0
Tc,7h,,,,,,0,7,9.8,3.0,87.2
9c,6c,Jc,Js,4s,3h,,4,1,22.2,0.8,77.0
6c,Kc,9s,Tc,Jd,Ad,8d,5,7,0.0,0.0,100.0
Kc,7s,Td,Ks,4d,9d,,4,6,14.4,3.0,82.6
Ts,Tc,6h,8s,Jc,9s,2h,5,6,16.8,0.0,83.2
Th,Tc,,,,,,0,7,21.0,2.8,76.2
5s,2s,,,,,,0,4,16.2,2.8,81.0
4d,9h,Kc,7c,9d,3h,As,5,3,27.8,3.8,68.4
Jh,9c,6s,Js,Kd,,,3,4,26.8,3.0,70.2
6c,7d,4s,8d,Kd,Ks,2c,5,2,0.8,0.0,99.2
Td,Ks,9c,Tc,Ad,Qs,,4,3,33.0,4.0,63.0
3s,4c,4d,4s,Jd,Ks,,4,6,59.4,12.4,28.2
4h,Jd,4d,5h,Td,Jh,,4,7,46.4,2.6,51.0
2s,Qc,5h,Jh,Jc,8d,Ac,5,4,0.8,1.0,98.2
Jd,5s,,,,,,0,3,18.4,3.8,77.8
4c,Th,5s,9s,2c,Td,,4,8,13.4,4.0,82.6
4h,Qd,9h,9d,3h,7c,Js,5,2,4.8,2.2,93.0
3s,2s,6d,8d,8c,9c,,4,1,5.0,7.4,87.6
2c,Ts,,,,,,0,6,7.0,2.4,90.6
2h,Js,Tc,Jd,Kc,3s,,4,8,5.4,2.6,92.0
5h,6d,7s,3h,8s,9s,8d,5,8,45.2,3.8,51.0
8s,3h,Td,As,4d,,,3,6,1.6,0.6,97.8
Qd,8c,Qc,2s,Jc,,,3,1,80.4,2.8,16.8
Th,Ac,,,,,,0,4,24.8,2.6,72.6
Qd,7d,Jc,2c,8d,,,3,5,8.4,0.8,90.8
Js,6h,Ks,4d,Ah,,,3,3,8.6,3.8,87.6
Ac,7s,Kc,Jc,8s,3c,,4,6,20.6,1.0,78.4
4d,5d,Qs,Qc,4c,Kc,9c,5,7,0.0,0.0,100.0
Qd,9d,,,,,,0,4,26.2,1.6,72.2
5d,Tc,Ts,2c,3c,6h,Qd,5,8,5.0,0.4,94.6
6d,Ks,7s,8d,3d,Kh,As,5,6,13.8,4.4,81.8
7c,3d,Ah,6c,Qd,8s,,4,4,0.6,0.4,99.0
Qs,6d,,,,,,0,2,29.4,5.2,65.4
8d,Ac,9h,Kh,Td,Qs,Ts,5,2,8.8,7.8,83.4
Qd,Jh,,,,,,0,2,38.6,2.2,59.2
Qd,Kc,4c,3c,Ts,7d,9s,5,5,0.0,0.0,100.0
As,2h,,,,,,0,2,32.6,2.4,65.0
Ad,Ts,,,,,,0,2,43.0,3.0,54.0
2s,Ah,Th,2d,9s,4s,,4,2,29.4,0.4,70.2
8h,3d,,,,,,0,6,6.8,3.4,89.8
2s,9h,Th,Ac,4h,3h,5s,5,5,36.8,33.6,29.6
Ts,5c,3s,Qd,6s,3c,,4,7,0.8,0.4,98.8
Ad,7c,8h,2c,3d,2h,,4,7,1.4,1.6,97.0
8d,Kh,5s,7c,2s,5c,2h,5,1,43.0,8.6,48.4
2d,Qh,5h,5c,Ac,Qs,5d,5,5,18.2,15.6,66.2
3s,Kd,Ad,Td,Qc,7d,Jh,5,6,28.6,53.4,18.0
Qd,2h,Qh,Ah,3d,2s,Kd,5,3,70.8,1.6,27.6
9s,Ah,,,,,,0,8,11.4,2.4,86.2
4d,Js,,,,,,0,4,14.4,3.8,81.8
2d,As,4d,9s,4c,3h,,4,7,6.6,2.2,91.2
Kd,9d,2c,5c,9s,4s,Qd,5,8,6.0,0.8,93.2
6s,4c,9s,Ac,8s,Ts,7d,5,5,14.6,14.0,71.4
2s,3s,Qs,6h,8d,8s,,4,7,12.0,0.0,88.0
7h,Tc,,,,,,0,4,19.2,3.2,77.6
5s,Jh,,,,,,0,3,23.4,2.8,73.8
3d,5h,Ac,2h,7c,Jd,,4,8,9.4,0.4,90.2
Th,6c,,,,,,0,7,9.2,3.6,87.2
8h,Qc,6c,5h,Js,,,3,5,9.8,2.6,87.6
3h,6c,2s,As,8d,4s,,4,2,7.6,0.0,92.4
3c,Kd,4d,3d,5h,,,3,7,9.0,0.8,90.2
Ah,3s,Tc,Jh,2h,3h,,4,1,69.6,0.8,29.6
Ks,8c,4c,9h,Ac,,,3,1,53.0,2.6,44.4
Qh,Jc,Td,5s,Qc,4d,2h,5,8,25.0,1.4,73.6
7d,Js,2d,Jh,8h,,,3,4,36.2,2.8,61.0
7d,9s,Js,7s,Td,,,3,3,29.2,8.0,62.8
7h,Ad,Jd,Tc,Qh,Js,,4,5,3.8,7.2,89.0
Th,Kc,,,,,,0,8,14.2,2.8,83.0
5c,9d,Ac,2h,3d,Qd,,4,6,3.4,3.8,92.8
6s,2d,,,,,,0,3,17.4,3.4,79.2
8c,3d,,,,,,0,2,19.6,3.2,77.2
6d,Ks,8c,9s,Jh,Kd,3h,5,1,76.6,4.8,18.6
8h,Ah,,,,,,0,8,15.4,2.4,82.2
3c,4d,8s,Ad,7h,,,3,2,6.0,1.4,92.6
Qh,Td,3h,2s,6s,Ks,Ad,5,7,0.0,0.0,100.0
Ks,9h,8c,Qd,Js,Tc,,4,2,88.2,5.2,6.6
2h,9d,,,,,,0,7,6.4,2.0,91.6
7c,3s,2h,9s,Js,Kc,Th,5,1,8.0,3.8,88.2
Ah,5h,Qc,5d,4s,,,3,6,15.4,1.2,83.4
Tc,4s,Ah,8c,As,7s,4c,5,4,6.6,1.2,92.2
Jd,Qh,8c,2s,6d,6s,,4,4,8.0,0.4,91.6
Jd,2s,Qc,2d,6d,Kc,,4,1,50.4,1.8,47.8
7h,2h,,,,,,0,7,10.0,1.0,89.0
Td,8s,Ks,2d,6d,Ac,4c,5,7,0.0,0.0,100.0
Tc,Kc,,,,,,0,4,27.6,2.0,70.4
Tc,7h,8h,Qh,Kh,,,3,1,49.6,4.0,46.4
As,3h,8h,4c,8c,Jh,,4,1,44.8,4.0,51.2
7c,7d,,,,,,0,6,18.6,0.8,80.6
3d,Kd,9c,5c,4s,,,3,3,11.0,4.2,84.8
Kd,9d,2c,Tc,Td,6s,,4,3,13.2,1.8,85.0
5s,Qc,9s,Tc,Kh,Kd,3h,5,8,0.0,0.0,100.0
Th,Tc,3s,Kc,5s,As,2h,5,1,53.2,0.2,46.6
Qd,5d,,,,,,0,7,10.4,3.0,86.6
Jc,3s,Ac,7c,Qh,2d,9c,5,6,0.0,0.0,100.0
9d,8h,,,,,,0,8,8.6,3.4,88.0
Qs,6d,4h,2d,7s,Th,,4,7,2.0,0.0,98.0
6s,7d,5s,7s,3c,,,3,1,70.8,4.8,24.4
6c,2h,,,,,,0,3,14.6,1.6,83.8
Kh,7s,8s,8d,5d,9h,,4,7,3.4,5.4,91.2
9h,Js,6c,Qd,8d,8s,Jh,5,6,8.6,4.8,86.6
Ah,7d,2s,Th,5s,,,3,3,16.6,1.2,82.2
Qs,3s,9h,2h,Th,5h,8h,5,8,0.0,1.6,98.4
8c,Ac,3s,5c,Qh,,,3,5,12.2,0.6,87.2
5h,Tc,,,,,,0,6,9.4,3.8,86.8
8c,Ts,,,,,,0,2,31.6,5.2,63.2
8h,6d,Kd,Th,Ah,Ac,8s,5,8,0.6,0.6,98.8
9d,Kd,,,,,,0,6,18.6,1.4,80.0
Qc,5h,Kh,6c,Js,Kd,7s,5,5,0.0,0.0,100.0
7s,7d,2s,8d,9d,,,3,3,27.4,1.2,71.4
Kc,8s,9h,Ac,3d,,,3,4,6.0,1.6,92.4
6s,Kh,,,,,,0,1,53.4,3.4,43.2
Jd,4h,Kd,6c,6h,3h,Kh,5,3,6.0,5.2,88.8
Th,Kc,Qd,2s,7c,7d,Ks,5,8,12.6,20.4,67.0
5s,5h,,,,,,0,6,15.6,1.0,83.4
4s,Kc,5c,3d,Js,Qh,,4,8,1.4,0.4,98.2
7c,As,Kh,Ad,2d,6s,7s,5,5,88.6,1.4,10.0
9s,Qs,Kc,As,Td,Th,,4,4,6.0,10.0,84.0
9d,8h,,,,,,0,3,23.6,3.0,73.4
Ah,7c,Kc,5s,9h,2d,6h,5,5,0.2,0.0,99.8
Kh,3s,Ah,6h,Jh,6c,,4,4,23.0,4.2,72.8
Tc,9d,,,,,,0,3,24.2,2.8,73.0
3s,9h,6d,4h,Td,,,3,6,1.0,0.6,98.4
4h,Jh,,,,,,0,4,17.6,3.4,79.0
7s,5c,,,,,,0,1,38.2,7.4,54.4
3h,4d,4s,Td,6h,Ac,,4,3,17.6,1.8,80.6
Jh,8d,9h,Ah,9c,,,3,7,5.0,1.8,93.2
Tc,Ah,Qc,9s,2h,,,3,6,7.2,0.8,92.0
5h,Ac,,,,,,0,4,19.8,4.2,76.0
Qc,3h,Ts,9c,Qs,2d,,4,5,23.2,5.8,71.0
Jd,6d,4c,4s,Ts,Jh,5h,5,4,39.6,10.6,49.8
6c,5c,Jc,4s,Kh,,,3,7,9.8,0.6,89.6
Qc,5h,9d,8c,5c,9h,7h,5,7,0.4,0.2,99.4
Kc,6s,9h,8h,Td,9d,9c,5,1,38.4,8.2,53.4
4c,8c,2h,9d,3d,,,3,4,5.2,1.2,93.6
Ac,2c,Qd,6d,Jh,7d,Ks,5,2,5.2,2.4,92.4
Qd,9c,,,,,,0,8,12.4,2.8,84.8
9d,9s,,,,,,0,8,15.2,1.4,83.4
3c,5d,7h,8h,5s,,,3,3,17.0,2.4,80.6
3s,8d,,,,,,0,2,18.4,2.4,79.2
As,Kc,2s,2c,7c,Jh,Th,5,7,0.6,0.0,99.4
3h,Js,,,,,,0,7,7.2,1.8,91.0
6h,4d,2h,5s,3s,7h,,4,1,93.6,2.8,3.6
2d,Jh,Td,8h,7d,Jc,4d,5,8,2.2,0.4,97.4
Ts,Ks,2s,Tc,Kc,3d,Js,5,6,71.6,1.6,26.8
Js,Kh,4c,Kc,5s,7h,9c,5,7,18.2,1.0,80.8
Qh,Qs,3h,Ts,Kd,4c,8s,5,7,15.2,0.0,84.8
9c,7d,9h,2d,Ad,,,3,1,72.8,1.2,26.0
9d,Kc,4s,3d,5c,5d,,4,5,5.0,0.8,94.2
7c,9c,,,,,,0,2,30.8,4.0,65.2
Ah,3h,2s,Th,2d,,,3,6,7.8,4.0,88.2
